epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,484.055,2.35458,0.59112,0.89013,1.25881,0.00333187,0.00333187,0.00333187
2,7934.64,1.65683,0.64945,0.9159,1.09868,0.00659922,0.00659922,0.00659922
3,8322.83,1.63406,0.63717,0.89912,1.14686,0.00980057,0.00980057,0.00980057
4,8577.99,1.63191,0.6966,0.93158,0.94709,0.009703,0.009703,0.009703
5,8833.58,1.38188,0.78103,0.95143,0.6978,0.009604,0.009604,0.009604
6,9090.38,1.2317,0.80439,0.95932,0.62775,0.009505,0.009505,0.009505
7,9342.85,1.1177,0.82675,0.96678,0.53974,0.009406,0.009406,0.009406
8,9594.69,1.05854,0.8432,0.96897,0.50159,0.009307,0.009307,0.009307
9,9846.11,1.00478,0.85493,0.97061,0.46478,0.009208,0.009208,0.009208
10,10097,0.96745,0.86371,0.97412,0.4295,0.009109,0.009109,0.009109
11,10345.3,0.94259,0.87039,0.97456,0.41469,0.00901,0.00901,0.00901
12,10595.8,0.90257,0.87467,0.97697,0.40113,0.008911,0.008911,0.008911
13,10858.9,0.87638,0.88026,0.97752,0.38239,0.008812,0.008812,0.008812
14,11114.1,0.85712,0.88618,0.97774,0.3626,0.008713,0.008713,0.008713
15,11369.2,0.83813,0.89046,0.97873,0.35175,0.008614,0.008614,0.008614
16,11634.6,0.82999,0.88871,0.98191,0.33781,0.008515,0.008515,0.008515
17,11904.5,0.80751,0.8932,0.98169,0.32958,0.008416,0.008416,0.008416
18,12193,0.79034,0.89737,0.98202,0.31601,0.008317,0.008317,0.008317
19,12484.7,0.77766,0.90143,0.98289,0.30901,0.008218,0.008218,0.008218
20,12754.1,0.76366,0.90296,0.98355,0.30184,0.008119,0.008119,0.008119
21,13033.8,0.76496,0.90504,0.98509,0.29606,0.00802,0.00802,0.00802
22,13344.4,0.74821,0.90603,0.98509,0.29159,0.007921,0.007921,0.007921
23,13640.4,0.7329,0.90768,0.98487,0.28687,0.007822,0.007822,0.007822
24,13926.3,0.72943,0.90965,0.98498,0.28158,0.007723,0.007723,0.007723
25,14177.6,0.7168,0.91184,0.98564,0.27844,0.007624,0.007624,0.007624
26,14431.3,0.70652,0.91272,0.98553,0.27506,0.007525,0.007525,0.007525
27,14684.1,0.70461,0.91469,0.98553,0.27082,0.007426,0.007426,0.007426
28,14935.1,0.69653,0.91557,0.9864,0.26756,0.007327,0.007327,0.007327
29,15189.3,0.69064,0.91678,0.98651,0.26506,0.007228,0.007228,0.007228
30,15444.4,0.67545,0.91645,0.98673,0.26352,0.007129,0.007129,0.007129
31,15699.6,0.68532,0.91623,0.98695,0.2626,0.00703,0.00703,0.00703
32,15952.6,0.67964,0.91623,0.98695,0.26155,0.006931,0.006931,0.006931
33,16206.6,0.66825,0.91678,0.98695,0.26025,0.006832,0.006832,0.006832
34,16469,0.65553,0.91721,0.98706,0.25901,0.006733,0.006733,0.006733
35,16743.7,0.65764,0.91809,0.98684,0.25798,0.006634,0.006634,0.006634
36,17022,0.64648,0.91842,0.98684,0.25693,0.006535,0.006535,0.006535
37,17320.7,0.64811,0.91886,0.98673,0.2556,0.006436,0.006436,0.006436
38,17615.9,0.63543,0.91875,0.98695,0.2542,0.006337,0.006337,0.006337
39,17880.8,0.63017,0.91952,0.98717,0.25271,0.006238,0.006238,0.006238
40,18133.3,0.62516,0.91952,0.98673,0.25129,0.006139,0.006139,0.006139
41,18384.3,0.61875,0.91963,0.98695,0.24984,0.00604,0.00604,0.00604
42,18637.9,0.61392,0.92007,0.98662,0.24863,0.005941,0.005941,0.005941
43,18892.3,0.60655,0.92039,0.98673,0.24762,0.005842,0.005842,0.005842
44,19146.3,0.60224,0.92083,0.98706,0.24664,0.005743,0.005743,0.005743
45,19399.4,0.59977,0.92094,0.98739,0.24549,0.005644,0.005644,0.005644
46,19650.6,0.59661,0.9216,0.98761,0.24422,0.005545,0.005545,0.005545
47,19904.3,0.586,0.9216,0.98805,0.24337,0.005446,0.005446,0.005446
48,20157.4,0.58207,0.9216,0.98794,0.24244,0.005347,0.005347,0.005347
49,20409.6,0.57465,0.92237,0.98816,0.24146,0.005248,0.005248,0.005248
50,20662.7,0.58227,0.92248,0.98838,0.24049,0.005149,0.005149,0.005149
51,20935.1,0.56584,0.92281,0.98838,0.23953,0.00505,0.00505,0.00505
52,21191.7,0.56262,0.92336,0.98849,0.23855,0.004951,0.004951,0.004951
53,21451.3,0.55945,0.92368,0.98827,0.23786,0.004852,0.004852,0.004852
54,21720,0.55268,0.92456,0.98827,0.23715,0.004753,0.004753,0.004753
55,21972.5,0.54884,0.92522,0.9886,0.23616,0.004654,0.004654,0.004654
56,22220.7,0.53964,0.92555,0.98849,0.23506,0.004555,0.004555,0.004555
57,22481.1,0.53856,0.92555,0.9886,0.23375,0.004456,0.004456,0.004456
58,22731.8,0.52738,0.92577,0.9886,0.2326,0.004357,0.004357,0.004357
59,22997.1,0.53003,0.92643,0.98882,0.23135,0.004258,0.004258,0.004258
60,298.895,0.47347,0.92654,0.98882,0.23079,0.004159,0.004159,0.004159
61,547.053,0.4932,0.9261,0.98871,0.23008,0.00406,0.00406,0.00406
62,819.524,0.50404,0.92643,0.98882,0.22932,0.003961,0.003961,0.003961
63,1100.96,0.51369,0.92621,0.98925,0.22881,0.003862,0.003862,0.003862
64,1369.07,0.50107,0.92675,0.98893,0.22853,0.003763,0.003763,0.003763
65,1626.83,0.50613,0.92708,0.98914,0.22809,0.003664,0.003664,0.003664
66,1882.1,0.48439,0.9273,0.98914,0.22766,0.003565,0.003565,0.003565
67,2132.14,0.4851,0.92763,0.98936,0.22714,0.003466,0.003466,0.003466
68,2384.63,0.48107,0.92763,0.98925,0.22655,0.003367,0.003367,0.003367
69,2637.77,0.47746,0.92774,0.98914,0.22583,0.003268,0.003268,0.003268
70,2889.14,0.48078,0.92807,0.98947,0.22529,0.003169,0.003169,0.003169
71,3139.36,0.47136,0.92829,0.98947,0.22475,0.00307,0.00307,0.00307
72,3389.86,0.4658,0.92774,0.9898,0.22446,0.002971,0.002971,0.002971
73,3641.46,0.44982,0.92774,0.98969,0.22411,0.002872,0.002872,0.002872
74,3899.04,0.45275,0.92763,0.98958,0.22357,0.002773,0.002773,0.002773
75,4174.13,0.44781,0.92829,0.9898,0.22292,0.002674,0.002674,0.002674
76,4435.04,0.44117,0.92818,0.98958,0.22219,0.002575,0.002575,0.002575
